Date Last Researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Status,Reactor Type,Model,Start Year,Retirement Year,Planned Retirement,Cancellation Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retirement Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL,capacity_numeric
2025-07-08,Brazil,Angra nuclear power plant,3,,,1405.0,construction,pressurized water reactor,PRE KONVOI,2031.0,,,,2010-05-30,,,2031,,Eletrobras Eletronuclear SA [100%],,Eletrobras Eletronuclear,,1340.0,1340.0,3900.0,-23.0091,-44.47201,exact,Angra dos Reis,,Região Geográfica Intermediária do Rio de Janeiro,Rio de Janeiro,Latin America and the Caribbean,Americas,L100000500026,G100000500042,https://www.gem.wiki/Angra_nuclear_power_plant,1405.0
2024-05-08,Bulgaria,Belene nuclear power plant,1,,,1000.0,cancelled,unknown,unknown,,,,2023.0,,,,,,,,,,,,,43.6294,25.1867,exact,,Pleven,,,Eastern Europe,Europe,L100000500295,G100000500712,https://www.gem.wiki/Belene_nuclear_power_plant,1000.0
2024-05-08,Bulgaria,Belene nuclear power plant,2,,,1000.0,cancelled,unknown,unknown,,,,2023.0,,,,,,,,,,,,,43.6294,25.1867,exact,,Pleven,,,Eastern Europe,Europe,L100000500295,G100000500713,https://www.gem.wiki/Belene_nuclear_power_plant,1000.0
2024-05-08,Bulgaria,Belene Original nuclear power plant,1,,,1000.0,cancelled,pressurized water reactor,VVER V-320,,,,1991.0,1987,,,,,,,,,,,,43.6294,25.1867,exact,,Pleven,,,Eastern Europe,Europe,L100000500385,G100000501053,https://www.gem.wiki/Belene_Original_nuclear_power_plant,1000.0
2024-05-08,Bulgaria,Belene Original nuclear power plant,2,,,1000.0,cancelled,pressurized water reactor,VVER V-320,,,,1991.0,,,,,,,,,,,,,43.6294,25.1867,exact,,Pleven,,,Eastern Europe,Europe,L100000500385,G100000501054,https://www.gem.wiki/Belene_Original_nuclear_power_plant,1000.0
2024-05-08,Bulgaria,Kozloduy nuclear power plant,1,,,440.0,retired,pressurized water reactor,VVER V-230,1974.0,2002.0,N,,1970-04-01,1974-06-30,1974-07-24,1974-10-28,2002-12-31,DP RAO (State Enterprise “Radio Active Waste”) [100%],,,,408.0,408.0,1375.0,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500492,https://www.gem.wiki/Kozloduy_nuclear_power_plant,440.0
2024-05-08,Bulgaria,Kozloduy nuclear power plant,2,,,440.0,retired,pressurized water reactor,VVER V-230,1975.0,2002.0,N,,1970-04-01,1975-08-22,1975-08-24,1975-11-10,2002-12-31,DP RAO (State Enterprise “Radio Active Waste”) [100%],,,,408.0,408.0,1375.0,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500493,https://www.gem.wiki/Kozloduy_nuclear_power_plant,440.0
2024-05-08,Bulgaria,Kozloduy nuclear power plant,3,,,440.0,retired,pressurized water reactor,VVER V-230,1981.0,2006.0,N,,1973-10-01,1980-12-04,1980-12-17,1981-01-20,2006-12-31,DP RAO (State Enterprise “Radio Active Waste”) [100%],,,,408.0,408.0,1375.0,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500494,https://www.gem.wiki/Kozloduy_nuclear_power_plant,440.0
2024-05-08,Bulgaria,Kozloduy nuclear power plant,4,,,440.0,retired,pressurized water reactor,VVER V-230,1982.0,2006.0,N,,1973-10-01,1982-04-25,1982-05-17,1982-06-20,2006-12-31,DP RAO (State Enterprise “Radio Active Waste”) [100%],,,,408.0,408.0,1375.0,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500495,https://www.gem.wiki/Kozloduy_nuclear_power_plant,440.0
2024-05-08,Bulgaria,Kozloduy nuclear power plant,5,,,1040.0,operating,pressurized water reactor,VVER V-320,1988.0,,,,1980-07-09,1987-11-05,1987-11-29,1988-12-23,,Bulgarian Energy Holding EAD [100%],БЪЛГАРСКИ ЕНЕРГИЕН ХОЛДИНГ,,,1003.0,953.0,3120.0,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500192,https://www.gem.wiki/Kozloduy_nuclear_power_plant,1040.0
