Country/Area,Region,Subregion,State/Province,Project Name,Unit Name,Status,Reactor Type,Model,capacity_numeric,capacity_factor,annual_generation_twh,Start Year,Retirement Year,Commercial Operation Date,Construction Start Date,Latitude,Longitude
United States,Americas,Northern America,Idaho,CFPP nuclear power plant,2,cancelled,small modular reactor,NuScale,77.0,0.85,0.573342,,,,,43.4919,-112.0433
United States,Americas,Northern America,Idaho,CFPP nuclear power plant,3,cancelled,small modular reactor,NuScale,77.0,0.85,0.573342,,,,,43.4919,-112.0433
United States,Americas,Northern America,Idaho,CFPP nuclear power plant,4,cancelled,small modular reactor,NuScale,77.0,0.85,0.573342,,,,,43.4919,-112.0433
United States,Americas,Northern America,Idaho,CFPP nuclear power plant,5,cancelled,small modular reactor,NuScale,77.0,0.85,0.573342,,,,,43.4919,-112.0433
United States,Americas,Northern America,Idaho,CFPP nuclear power plant,6,cancelled,small modular reactor,NuScale,77.0,0.85,0.573342,,,,,43.4919,-112.0433
United States,Americas,Northern America,South Carolina,Cherokee nuclear power plant,1,cancelled,pressurized water reactor,unknown,1280.0,0.85,9.53088,,,,,35.0367,-81.5119
United States,Americas,Northern America,South Carolina,Cherokee nuclear power plant,2,cancelled,pressurized water reactor,unknown,1280.0,0.85,9.53088,,,,,35.0367,-81.5119
United States,Americas,Northern America,South Carolina,Cherokee nuclear power plant,3,cancelled,pressurized water reactor,unknown,1280.0,0.85,9.53088,,,,,35.0367,-81.5119
United States,Americas,Northern America,Tennessee,Clinch River Breeder nuclear power plant,--,cancelled,fast breeder reactor,unknown,380.0,0.85,2.82948,,,,,35.89001,-84.3825
United States,Americas,Northern America,Tennessee,Clinch River SMR nuclear power plant,1,pre-construction,boiling water reactor,BWRX-300,300.0,0.85,2.2338,2033.0,,2033,,35.88944,-84.3793
United States,Americas,Northern America,Tennessee,Clinch River SMR nuclear power plant,2,announced,boiling water reactor,BWRX-300,300.0,0.85,2.2338,,,,,35.88944,-84.3793
United States,Americas,Northern America,Tennessee,Clinch River SMR nuclear power plant,3,announced,boiling water reactor,BWRX-300,300.0,0.85,2.2338,,,,,35.88944,-84.3793
United States,Americas,Northern America,Tennessee,Clinch River SMR nuclear power plant,4,announced,boiling water reactor,BWRX-300,300.0,0.85,2.2338,,,,,35.88944,-84.3793
United States,Americas,Northern America,Illinois,Clinton nuclear power plant,1,operating,boiling water reactor,BWR-6 (Mark 3),1098.0,0.9,8.656632,1987.0,,1987-11-24,1975-10-01,40.1719,-88.8339
United States,Americas,Northern America,Illinois,Clinton nuclear power plant,2,cancelled,unknown,unknown,950.0,0.85,7.0737,,,,,40.1719,-88.8339
United States,Americas,Northern America,Washington,Columbia nuclear power plant,1,operating,boiling water reactor,BWR-5 (Mark 2),1190.0,0.9,9.38196,1984.0,,1984-12-13,1972-08-01,46.4711,-119.3339
United States,Americas,Northern America,Washington,Columbia nuclear power plant,EPU,pre-construction,boiling water reactor,BWR-5 (Mark 2),162.0,0.85,1.206252,2031.0,,2031,,46.4711,-119.3339
United States,Americas,Northern America,Texas,Comanche Peak nuclear power plant,1,operating,pressurized water reactor,WH 4LP (DRYAMB),1259.0,0.9,9.925956,1990.0,,1990-08-13,1974-12-19,32.2984,-97.7855
United States,Americas,Northern America,Texas,Comanche Peak nuclear power plant,2,operating,pressurized water reactor,WH 4LP (DRYAMB),1250.0,0.9,9.855,1993.0,,1993-08-03,1974-12-19,32.2984,-97.7855
United States,Americas,Northern America,Texas,Comanche Peak nuclear power plant,3,cancelled,pressurized water reactor,US-APWR,1700.0,0.85,12.6582,,,,,32.2984,-97.7855
United States,Americas,Northern America,Texas,Comanche Peak nuclear power plant,4,cancelled,pressurized water reactor,US-APWR,1700.0,0.85,12.6582,,,,,32.2984,-97.7855
United States,Americas,Northern America,Connecticut,Connecticut Yankee nuclear power plant,--,retired,pressurized water reactor,unknown,603.0,0.85,4.489938,1968.0,1996.0,1968-01-01,1964-05-01,41.4829,-72.5003
United States,Americas,Northern America,Nebraska,Cooper nuclear power plant,--,operating,boiling water reactor,BWR-4 (Mark 1),801.0,0.9,6.315084,1974.0,,1974-07-01,1968-06-01,40.3628,-95.6408
United States,Americas,Northern America,Florida,Crystal River nuclear power plant,3,retired,pressurized water reactor,B&W LLP (DRYAMB),890.0,0.85,6.62694,1977.0,2013.0,1977-03-13,1968-09-25,28.9578,-82.6983
United States,Americas,Northern America,Florida,Crystal River nuclear power plant,4,cancelled,unknown,unknown,897.0,0.85,6.679062,,,,,28.9578,-82.6983
United States,Americas,Northern America,Ohio,Davis Besse nuclear power plant,1,operating,pressurized water reactor,B&W RLP (DRYAMB),925.0,0.9,7.2927,1978.0,,1978-07-31,1970-09-01,41.5967,-83.0861
United States,Americas,Northern America,Ohio,Davis Besse nuclear power plant,2,cancelled,unknown,unknown,906.0,0.85,6.746076,,,,,41.5967,-83.0861
United States,Americas,Northern America,Ohio,Davis Besse nuclear power plant,3,cancelled,unknown,unknown,906.0,0.85,6.746076,,,,,41.5967,-83.0861
United States,Americas,Northern America,California,Diablo Canyon nuclear power plant,1,operating,pressurized water reactor,WH 4LP (DRYAMB),1197.0,0.9,9.437148,1985.0,2030.0,1985-05-07,1968-04-23,35.2115,-120.8555
United States,Americas,Northern America,California,Diablo Canyon nuclear power plant,2,operating,pressurized water reactor,WH 4LP (DRYAMB),1197.0,0.9,9.437148,1986.0,2030.0,1986-03-13,1970-12-09,35.2115,-120.8555
United States,Americas,Northern America,Michigan,Donald C Cook nuclear power plant,1,operating,pressurized water reactor,WH 4LP (ICECDN),1131.0,0.9,8.916804,1975.0,,1975-08-28,1969-03-25,41.9756,-86.5652
United States,Americas,Northern America,Michigan,Donald C Cook nuclear power plant,2,operating,pressurized water reactor,WH 4LP (ICECDN),1231.0,0.9,9.705204,1978.0,,1978-07-01,1969-03-25,41.9756,-86.5652
United States,Americas,Northern America,Maryland,Douglas Point (PEPCO) nuclear power plant,1,cancelled,boiling water reactor,unknown,1146.0,0.85,8.533116,,,,,38.45001,-77.25001
United States,Americas,Northern America,Maryland,Douglas Point (PEPCO) nuclear power plant,2,cancelled,boiling water reactor,unknown,1146.0,0.85,8.533116,,,,,38.45001,-77.25001
United States,Americas,Northern America,Illinois,Dresden nuclear power plant,1,retired,boiling water reactor,unknown,207.0,0.85,1.541322,1960.0,1978.0,1960-07-04,1956-05-01,41.3901,-88.2701
United States,Americas,Northern America,Illinois,Dresden nuclear power plant,2,operating,boiling water reactor,BWR-3 (Mark 1),950.0,0.9,7.4898,1970.0,,1970-06-09,1966-01-10,41.3901,-88.2701
United States,Americas,Northern America,Illinois,Dresden nuclear power plant,3,operating,boiling water reactor,BWR-3 (Mark 1),935.0,0.9,7.37154,1971.0,,1971-11-16,1966-10-14,41.3901,-88.2701
United States,Americas,Northern America,Iowa,Duane Arnold nuclear power plant,1,retired,boiling water reactor,BWR-4 (Mark 1),624.0,0.85,4.646304,1975.0,2020.0,1975-02-01,1970-06-22,42.1011,-91.7781
United States,Americas,Northern America,Iowa,Duane Arnold nuclear power plant,1 Repower,announced,boiling water reactor,BWR-4 (Mark 1),624.0,0.85,4.646304,2028.0,,2028,,42.1011,-91.7781
United States,Americas,Northern America,Georgia,Edwin I Hatch nuclear power plant,1,operating,boiling water reactor,BWR-4 (Mark 1),911.0,0.9,7.182324,1975.0,,1975-12-31,1968-09-30,31.9342,-82.3447
United States,Americas,Northern America,Georgia,Edwin I Hatch nuclear power plant,2,operating,boiling water reactor,BWR-4 (Mark 1),921.0,0.9,7.261164,1979.0,,1979-09-05,1972-02-01,31.9342,-82.3447
United States,Americas,Northern America,Alaska,Eielson Air Force Base nuclear power plant,--,pre-construction,liquid-metal-cooled fast reactor,Aurora,5.0,0.85,0.03723,2030.0,,2030,,64.6699364,-147.0615698
United States,Americas,Northern America,Minnesota,Elk River nuclear power plant,--,retired,boiling water reactor,unknown,24.0,0.85,0.178704,1964.0,1968.0,1964-07-01,1959-01-01,45.2963,-93.5555
United States,Americas,Northern America,Ohio,Erie nuclear power plant,1,cancelled,unknown,unknown,1267.0,0.85,9.434082,,,,,41.35001,-82.4833
United States,Americas,Northern America,Ohio,Erie nuclear power plant,2,cancelled,unknown,unknown,1267.0,0.85,9.434082,,,,,41.35001,-82.4833
United States,Americas,Northern America,Illinois,Experimental Boiling Water Reactor nuclear power plant,1,retired,unknown,unknown,5.0,0.85,0.03723,1956.0,1967.0,1956,1955,41.71944,-87.9891
United States,Americas,Northern America,Idaho,Experimental Breeder Reactor nuclear power plant,1,retired,unknown,unknown,0.2,0.85,0.0014892,1951.0,1964.0,1951,1949,43.51151,-113.0087
United States,Americas,Northern America,Idaho,Experimental Breeder Reactor nuclear power plant,2,retired,unknown,unknown,19.0,0.85,0.141474,1965.0,1994.0,1965,,43.59509,-113.0087
United States,Americas,Northern America,Michigan,Fermi nuclear power plant,1,retired,fast breeder reactor,Liquid Metal FBR,65.0,0.85,0.48399,1966.0,1972.0,1966-08-07,1956-08-08,41.96031,-83.2577
United States,Americas,Northern America,Michigan,Fermi nuclear power plant,2,operating,boiling water reactor,BWR-4 (Mark 1),1198.0,0.9,9.445032,1988.0,,1988-01-23,1972-09-26,41.96278,-83.2575
United States,Americas,Northern America,Michigan,Fermi nuclear power plant,3,cancelled,boiling water reactor,ESBWR,1600.0,0.85,11.9136,,,,,41.96082,-83.2648
United States,Americas,Northern America,Michigan,Fermi nuclear power plant,3A,cancelled,unknown,unknown,1171.0,0.85,8.719266,,,,,41.96082,-83.2648
United States,Americas,Northern America,New Jersey,Forked River nuclear power plant,1,cancelled,unknown,unknown,1070.0,0.85,7.96722,,,,,39.8169,-74.2166
United States,Americas,Northern America,Nebraska,Fort Calhoun nuclear power plant,1,retired,pressurized water reactor,CE 2LP,512.0,0.85,3.812352,1973.0,2016.0,1973-09-26,1968-06-07,41.5182,-96.0775
United States,Americas,Northern America,Nebraska,Fort Calhoun nuclear power plant,2,cancelled,pressurized water reactor,unknown,1136.0,0.85,8.458656,,,,,41.5182,-96.0775
United States,Americas,Northern America,Colorado,Fort St. Vrain nuclear power plant,--,retired,high temperature gas reactor,unknown,342.0,0.85,2.546532,1979.0,1989.0,1979-07-01,1968-09-01,40.2453,-104.8742
United States,Americas,Northern America,California,Fresno nuclear power plant,1,cancelled,pressurized water reactor,unknown,1600.0,0.85,11.9136,,,,,36.7664651,-119.7959456
United States,Americas,Northern America,California,Fresno nuclear power plant,2,cancelled,pressurized water reactor,unknown,1600.0,0.85,11.9136,,,,,36.7664651,-119.7959456
United States,Americas,Northern America,Pennsylvania,Fulton nuclear power plant,1,cancelled,high temperature gas reactor,unknown,1160.0,0.85,8.63736,,,,,39.7675,-76.2334
